"filename", "language", "JavaScript", "Batch", "TypeScript", "JSON with Comments", "JSON", "HTML", "CSS", "Markdown", "YAML", "XML", "JavaScript React", "comment", "blank", "total"
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\MxGraph\Extensions\MxGraphUtilities.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 77
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\MxGraph\Model\RectangleInfo.ts", "TypeScript", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 28, 49, 226
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\StorageHandling\IStorageHandler.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\StorageHandling\LocalStorageHandler.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 107
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\StorageHandling\MongoDBStorageHandler.ts", "TypeScript", 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 11, 80, 483
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\StorageHandling\StorageHandlerFactory.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\UserHandling\UserHandler.ts", "TypeScript", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 179
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\Utilities\HTMLUtilities.ts", "TypeScript", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 115
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\Utilities\MiscUtils.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\RiskEstimationRecorder\software\source\imports\API\Modules\Utilities\TypeScriptHelper.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
